$\delta_L$,$\gamma_L$,$n_y$,$\theta_L$,$\eta_x$,$\omega_x$,$m_x$,$\delta_x$,$\gamma_x$,$\theta_x$,$\rho_x$
0.38094280060423,1.5909055490825619,1.0017995214805535,0.3556240008698651,0.3790277181603973,944.3391766112198,1.4432182199448718,0.02302594869069363,0.10740966476110642,0.18154098500672924,3.1931536613419547
0.25253188964322615,0.30251570034386444,2.0879249895149585,0.10589354920800695,0.3293166778619323,915.0900103699231,1.6283241416981313,0.02161232903770951,0.33895035444013555,0.14473133244852576,4.095548461157067
0.15049387261030092,0.16342675682566393,2.7201572874049087,0.11938847920714149,0.21051112497612823,643.1101814011488,2.3010064827698127,0.016677986596558527,0.6508830219821752,0.38715125368283854,5.11149542392934
0.4731455362627776,1.1094299051877277,2.1314963228763135,0.09877517032909236,0.27436448398333785,127.29389881058182,2.563518456316403,0.0217860537194143,0.8233863976243327,0.18623093613091382,4.732010687633401
0.3984864789771798,0.24052722581464075,2.6535491924140278,0.1428566483006295,0.23911444259353254,475.2028283910705,1.908986229941358,0.015486032891515074,0.22525776470521805,0.06626013533945421,9.949132138198461
0.46360335709820477,0.24889946316035538,1.493709614184519,0.3996097941505895,0.38901070527528425,851.2011488673581,2.2223333932865197,0.010416410263727735,0.3251550647095283,0.2065703668977153,2.942422736014896
0.17088584353064548,1.3027184315972864,1.105389069403371,0.25750807873540893,0.4609183521417102,649.4899460994881,1.3054149014595309,0.017256663361307337,0.823629077198017,0.19520649025393644,5.766829132777775
0.25151802877612744,0.5779839799208287,1.4421089545278523,0.19595423625204855,0.23765578293097397,147.05286991550292,1.8863708906338152,0.02153013027219619,0.4902225834081079,0.3128431871946557,3.771609318985832
0.2614989708122704,0.4722087382969311,2.480247986368079,0.16843887669372185,0.47572530930144985,24.02557230919774,2.4583858974474575,0.019198039149022864,0.15284908712406747,0.34432950173573673,8.147819485213478
0.33954088658197124,0.1485675793576316,1.7100689520511145,0.09690629376447965,0.3621820716511218,935.6891018877407,1.401313424886002,0.015761124819465795,1.485142529828772,0.19622536195736545,1.1184296004636893
0.19409278958150392,0.042705953160499466,1.723960472229079,0.05628877833425422,0.5050908674932958,417.4863761967341,1.3530082801926877,0.02603010094033678,0.6443253756849678,0.09254231245690081,5.5907741247250105
0.14702051869741684,0.6525035027744616,1.7720091175528858,0.23754222328517782,0.41923855984700675,611.362569627349,1.009011851491987,0.019457875412325305,0.6427458054991702,0.23928904607259804,1.1116962457700685
0.06131303855186186,0.9430172791568499,1.6842674269551878,0.09300729094893528,0.3097061405427878,459.24197154520425,1.1933682029026047,0.010236841948370108,0.5799099506972929,0.24849188997849125,7.093784151745685
0.2529946365403008,0.8613112261973468,2.1655783766404215,0.2192618689272553,0.3884435482680493,477.71095478301197,1.2495413401170046,0.012532363738046256,1.4117345964047612,0.178638825749288,4.56408249311148
0.1373545165620983,0.6413464095457384,2.0122790147044074,0.019954737907650538,0.3528892340621797,874.0213958065534,1.3385001040225906,0.029636410213802398,0.973293892464575,0.2069549392784134,5.1325398025804025
0.35778605080652603,1.1956069320380538,1.300694363061551,0.2449298805155425,0.5083208549681296,127.49866530396758,1.7544378820539552,0.02146823370844869,0.5082492020678444,0.15504817224806852,5.059658554931233
0.5146702501650998,0.7309111279125128,1.8248848775516555,0.11060450072383306,0.36428448569672095,125.15076417586141,2.4781006424381946,0.024780429751019704,0.613881149875388,0.2496935365957275,1.5045340712617956
0.3506559108944015,1.0515797533283373,2.0267481767640025,0.2720625602142386,0.6143822188330785,471.9112640972025,1.470043946890479,0.028071665419711116,0.7561491613433016,0.25512639126221737,1.6726972590223523
0.24790546161956026,1.739096763863086,1.3184852050762945,0.4150700315521583,0.36577312627705927,465.04757891978534,2.069070176518144,0.019172891834734668,0.20008332881854574,0.5805983471954761,1.1642777005896825
0.4805805122361675,0.14918583313544614,1.901693203987165,0.20670163991321103,0.17250908983497526,673.1411749253159,2.854837482478729,0.010702270939314761,0.17327152610661217,0.3637878767796622,0.9913322455088753
0.3054014858038053,1.2405076899664376,1.6737680895594957,0.15930749215870027,0.25329538815214814,734.0264667427459,1.7964985669510518,0.02321746990204668,1.193914839571523,0.11812772515050717,4.406885527460432
0.3078167073645234,3.0844936626116177,1.299107183503908,0.4765466868059385,0.4536624106075956,764.1349487158228,1.2136014138149795,0.02077056914722435,0.3620936553129389,0.15405814483453423,5.051533852663491
0.5129737482933959,0.30236266755281915,1.7871120152048956,0.07790780216927254,0.44526459811143315,252.98767213072767,2.5368951997499276,0.019853265073306606,1.4166707883463476,0.22476443530481746,2.110416201789894
0.23137662016761268,0.2953757605148308,1.6656174058459705,0.06171577401153781,0.6889988690279414,472.3263413585314,1.2956035679600504,0.034540350286392026,0.38775749802530596,0.10615413777830064,1.8525065981030306
0.16394281019163762,0.6978273986770861,2.577423468634612,0.2214980468103598,0.6236641801945353,834.1248048161651,2.114707636148482,0.018958409520916115,0.30001838278951465,0.27076553383725643,5.852754635499402
0.1508536201092608,1.9168067316099648,2.218095889827148,0.19524491349474624,0.1956234312141287,709.2775227016859,1.3935694343045717,0.010987298040129042,1.8465860195956894,0.4449915851373899,3.8048888578510818
0.15742351761178,2.223557056372825,2.4154557489338346,0.30548358933138675,0.2283405098669197,698.3685651279427,1.1334474559752756,0.011720404745097762,0.2347909361785676,0.3396188558934473,6.544432711225074
0.3960338924388519,0.5630001041113185,2.9720387041039578,0.13139708916861365,0.25268661459168557,17.867809428610713,2.504679677948321,0.019282018426539767,0.3739965121207113,0.27747443384293824,9.553593771385085
0.20382595128717929,2.4135802756301783,2.35387677929376,0.18839412819995996,0.2999904431191045,111.28417398561379,1.9129894830011418,0.02419567017933054,0.33901469445332816,0.4120013499209565,9.553028345545115
